Brand,Price,Rating,Ratings Count,Condition,Seller Note,Processor,Screen Size,Manufacturer Color,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Release Year,Maximum Resolution,Model,OS,Features,Hard Drive Capacity,Country Region Of Manufacture,Storage Type
HP,$29.99 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,Intel Celeron,14 in,,Grey/Black,16 GB,16 GB,,2.16 GHz,Notebook/Laptop,,1366 x 768,HP T4M32UT#ABA,Chrome OS,Wi-Fi,16 GB,,SSD (Solid State Drive)
HP,$145.00 ,,,"Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","““Tested working. The Unit shows minor cosmetic signs of wear and tear (scratches, scuffing, etc.). ...  Read moreabout the seller notes““Tested working. The Unit shows minor cosmetic signs of wear and tear (scratches, scuffing, etc.). See pictures for details. Include AC adapter. As the battery is used, battery life is NOT guaranteed.”” Read Lessabout the seller notes ",Intel Core i3 6th Gen.,15.6 in,,Black,8 GB,512 GB,Intel HD Graphics,2.30 GHz,Notebook/Laptop,,,ProBook 650 G2,Windows 10 Pro,"Bluetooth,  Built-in Webcam,  Optical Drive,  Wi-Fi",,,SSD (Solid State Drive)
Dell,$159.99 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“Certified in Excellent  Working Condition by our expert technicians. Fully functional, normal signs ...  Read moreabout the seller notes“Certified in Excellent  Working Condition by our expert technicians. Fully functional, normal signs of wear, rigorously tested, and cleaned.” Read Lessabout the seller notes ",Intel i5,15.6 in,,,8 GB,256 GB,,2.30 GHz,,,,Dell Latitude E5550,Windows 10 Pro,,256 GB,,SSD (Solid State Drive)
HP,$84.99 ,,,"Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab",“1-Year Allstate warranty. The original HP charger is included.”,Intel Celeron,11.6 in,,Multi,4 GB,16 GB,Intel HD Graphics 500,2.4,Notebook/Laptop,2019,1366 x 768,Chromebook 11 G6 EE,Chrome OS,"Bluetooth,  Built-in Webcam,  Wi-Fi,  Built-in Microphone",16 GB,,eMMC
Microsoft,$69.60 ,,,"For parts or not workingAn item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, or items missing essential components. See the seller’s listing for full details. See all condition definitionsopens in a new window or tab","“Surface pro 4. 8gb 256gb version Screen glass is cracked. Touch function is still working. All ...  Read moreabout the seller notes“Surface pro 4. 8gb 256gb version Screen glass is cracked. Touch function is still working. All other parts are working fine. Battery holds charge and tested for 1 hour.(it could run more) Mainboard, SSD, cameras - front/rear, Wifi, etc. working excellent. No charger, keyboard included. Charger and keyboard can be included for £20/£20 extra on topItem shipped from the UK” Read Lessabout the seller notes ",Intel Core i5,12.5 in,,,256 GB,256 GB,,,Notebook/Laptop,,,Microsoft Surface Pro,Not Included,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam",256 GB,,SSD (Solid State Drive)
HP,$69.99 ,4.5 out of 5 stars,10,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“MINT CONDITION, LIKE NEW!  HP Chromebook 11 G5 in stellar condition. Our certified technicians have ...  Read moreabout the seller notes“MINT CONDITION, LIKE NEW!  HP Chromebook 11 G5 in stellar condition. Our certified technicians have meticulously inspected this unit to guarantee 100% functionality. Exhibits minimal signs of handling, with a flawless screen and keyboard. Prepped with a factory reset, this Chromebook is primed to delight right from the package.” Read Lessabout the seller notes ",Intel Celeron N,11.6 in,,Black,4 GB,16 GB,Intel HD Graphics,1.6 GHz,Chromebook,,1366 x 768,Samsung ChromeBook,Chrome OS,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi,  Widescreen Display",16 GB,,eMMC
HP,$49.00 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,AMD A4 Dual-Core,11.6 in,,Gray,4 GB,16 GB,,1.60 GHz,Notebook/Laptop,,1366 x 768,Chromebook 11A G8 EE,Chrome OS,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",16 GB,,eMMC
Dell,$129.95 ,5 out of 5 stars,1,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,Intel Core i7 6th Gen.,12.5 in,,Black,8 GB,256 GB,Intel® HD Graphics 520,2.60 GHz,Notebook/Laptop,2017,1920 x 1080,Dell Latitude E7270,Windows 10 Pro,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Force Touch Trackpad, Built-in Microphone",256 GB,,SSD (Solid State Drive)
Lenovo,$135.00 ,,,"For parts or not working: An item that does not function as intended and is not fully operational. ...  Read moreabout the conditionFor parts or not working: An item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, or items missing essential components. See the seller’s listing for full details. See all condition definitionsopens in a new window or tab ",,Does Not Apply,14 in,,,,,,,,,,Does Not Apply,,,,,
Lenovo,$80.99 ,,,,,Intel Core i5 2nd Gen.,12.5 in,,Black,4 GB,120 GB,,2.50 GHz,Notebook/Laptop,,1366 x 768,Lenovo ThinkPad X220,Windows 10,"Touchscreen, Bluetooth, Built-in Microphone, Built-in Webcam",320 GB,,HDD (Hard Disk Drive)
Microsoft,$103.77 ,5 out of 5 stars,8,,,NVIDIA Tegra 3,13.5 in,,Silver,1 GB,,,2.60 GHz,,,3000 x 2000,Microsoft Surface Book,Not Included,"Multi-Touch Trackpad, Built-in Microphone, Backlit Keyboard, Bluetooth, Touchscreen, Wi-Fi, Convertible 2-in-1 Laptop/Tablet, Built-in Webcam, Force Touch Trackpad",512 GB,,SSD (Solid State Drive)
Dell,$199.99 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“Tested/Working. Windows 10, Power Adapter Included. The laptop has frame damage on the backside.”",i5-7300HQ,15.6 in,,Black,8 GB,256 GB,NVIDIA GeForce GTX 1050 Ti,2.5GHz,Notebook/Laptop,,1920 x 1080,Dell Inspiron 15 7000,Windows 10 Home,"10/100 LAN Card, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",No HDD,China,SSD (Solid State Drive)
Dell,$288.00 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“The laptop is overall in good working condition. Internal components are fully verified and ...  Read moreabout the seller notes“The laptop is overall in good working condition. Internal components are fully verified and certified by our Dell Laptop Technicians!” Read Lessabout the seller notes ,Core i7,12.5 in,,,,512 GB,Intel HD Graphics 620,2.80 GHz,Notebook/Laptop,,,Dell Latitude 7280,Windows 10 Pro,"Touchscreen, Widescreen Display, Wi-Fi",,,SSD (Solid State Drive)
Dell,$105.01 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“Good used condition. Some minor scratches and scuffs from normal wear and tear.”,Intel Core i5 6th Gen.,14 in,,Black,8 GB,256 GB,,2.60 GHz,Notebook/Laptop,,1920 x 1080,Dell 5470,Windows 10 Pro,"10/100 LAN Card,  Built-in Webcam,  Wi-Fi",256 GB,,SSD (Solid State Drive)
Dell,$39.95 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“Used in good working condition. May have some scratches, scuffs, and general signs of use.”",Intel Celeron,13.3 in,,Black,4 GB,16 GB,,1.60 GHz,Notebook/Laptop,2017,1366 x 768,Dell Chromebook 3380,Chrome OS,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",16 GB,,eMMC
Lenovo,$90.00 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,Intel Core i3-6100U,11.6 in,,Black,8 GB,128 GB,,2.30 GHz,,,1366x768,Lenovo Yoga,Windows 10 Pro,Touchscreen,128 GB,,SSD (Solid State Drive)
Lenovo,$599.00 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,Intel Core i5-1135G7,15.6 in,,Arctic Grey,20 GB,1 TB,Intel Iris Xe Graphics,Up to 4.20GHz,Notebook/Laptop,2023,1920 x 1080,Lenovo Ideapad 3i,Windows 11 Home,"5G,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Touchscreen,  Wi-Fi,  Dual Speakers",1 TB,China,SSD (Solid State Drive)
